group,filing_status,n_dep,n
IDT,head_of_household,3,72
OLS,married/separate,4,71
TAS,head_of_household,7,71
Other,window(ed),3,70
TAS,head_of_household,6,70
TAS,joint,8,70
IDT,head_of_household,7,69
IDT,window(ed),4,67
Other,married/separate,5,67
Other,married/separate,8,67
Other,single,1,67
IDT,head_of_household,5,66
IDT,married/separate,6,66
IDT,single,4,66
IDT,window(ed),0,65
OLS,married/separate,1,65
OLS,single,3,65
OLS,window(ed),2,65
OLS,window(ed),6,65
TAS,single,5,65
IDT,head_of_household,1,64
IDT,head_of_household,6,64
IDT,single,7,64
OLS,joint,7,64
OLS,married/separate,6,64
TAS,window(ed),2,64
IDT,married/separate,3,63
OLS,head_of_household,2,63
Other,joint,6,63
Other,window(ed),6,63
TAS,head_of_household,1,63
IDT,head_of_household,0,62
IDT,joint,3,62
IDT,single,2,62
IDT,single,5,62
IDT,single,8,62
IDT,window(ed),7,62
OLS,joint,2,62
Other,joint,8,62
Other,window(ed),2,62
TAS,joint,2,62
TAS,single,6,62
TAS,window(ed),3,62
IDT,joint,6,61
IDT,married/separate,7,61
IDT,married/separate,8,61
Other,window(ed),0,61
TAS,married/separate,1,61
TAS,window(ed),0,61
IDT,joint,5,60
OLS,head_of_household,7,60
OLS,single,4,60
Other,head_of_household,3,60
Other,head_of_household,5,60
TAS,married/separate,8,60
IDT,married/separate,2,59
IDT,single,1,59
OLS,head_of_household,0,59
OLS,window(ed),4,59
Other,joint,0,59
Other,joint,2,59
TAS,married/separate,7,59
TAS,window(ed),6,59
IDT,joint,2,58
IDT,married/separate,0,58
IDT,window(ed),6,58
IDT,window(ed),8,58
OLS,joint,3,58
OLS,single,2,58
OLS,window(ed),3,58
Other,head_of_household,2,58
IDT,joint,4,57
OLS,head_of_household,1,57
OLS,joint,1,57
Other,married/separate,7,57
Other,single,6,57
Other,window(ed),5,57
TAS,head_of_household,5,57
TAS,window(ed),7,57
OLS,head_of_household,4,56
OLS,head_of_household,6,56
OLS,married/separate,2,56
OLS,window(ed),1,56
Other,joint,5,56
Other,married/separate,3,56
Other,single,5,56
Other,window(ed),7,56
TAS,head_of_household,8,56
IDT,joint,0,55
OLS,single,8,55
Other,head_of_household,7,55
Other,head_of_household,8,55
Other,joint,3,55
Other,married/separate,2,55
TAS,head_of_household,2,55
TAS,head_of_household,3,55
TAS,joint,5,55
TAS,married/separate,6,55
TAS,single,3,55
IDT,joint,7,54
IDT,window(ed),2,54
OLS,married/separate,5,54
OLS,window(ed),7,54
Other,head_of_household,1,54
Other,joint,1,54
Other,joint,7,54
Other,married/separate,0,54
Other,married/separate,1,54
Other,married/separate,6,54
TAS,married/separate,0,54
TAS,married/separate,2,54
TAS,single,0,54
TAS,single,8,54
TAS,window(ed),1,54
IDT,married/separate,1,53
IDT,married/separate,4,53
IDT,single,3,53
Other,single,2,53
Other,single,8,53
TAS,single,1,53
IDT,joint,1,52
OLS,joint,5,52
OLS,window(ed),0,52
Other,single,0,52
Other,single,4,52
TAS,joint,0,52
TAS,joint,1,52
TAS,joint,4,52
TAS,married/separate,4,52
TAS,single,2,52
IDT,joint,8,51
OLS,head_of_household,5,51
OLS,married/separate,3,51
Other,window(ed),1,51
TAS,window(ed),4,51
TAS,window(ed),5,51
IDT,window(ed),3,50
OLS,head_of_household,3,50
OLS,head_of_household,8,50
OLS,joint,4,50
OLS,joint,6,50
OLS,single,7,50
Other,head_of_household,0,50
Other,window(ed),4,50
TAS,window(ed),8,50
IDT,single,0,49
IDT,single,6,49
Other,joint,4,49
TAS,joint,3,49
TAS,married/separate,5,49
OLS,married/separate,0,48
OLS,single,6,48
OLS,window(ed),5,48
Other,single,7,48
TAS,head_of_household,0,48
TAS,single,4,48
TAS,single,7,47
IDT,window(ed),1,46
OLS,joint,0,46
OLS,married/separate,8,46
OLS,single,5,46
OLS,window(ed),8,46
Other,single,3,46
TAS,joint,7,46
TAS,married/separate,3,46
IDT,head_of_household,2,45
IDT,window(ed),5,45
Other,head_of_household,6,45
Other,married/separate,4,45
OLS,married/separate,7,44
OLS,single,1,44
OLS,single,0,43
TAS,head_of_household,4,42
Other,window(ed),8,41
TAS,joint,6,41
IDT,head_of_household,4,40
IDT,head_of_household,8,40
OLS,joint,8,40
Other,head_of_household,4,40
IDT,married/separate,5,34
