group,filing_status,journey,n
IDT,Head of Household,A > A > E > L > E > C > B > M > C > O,5
IDT,Head of Household,A > A > J > I > O > G,11
IDT,Head of Household,A > L > B,9
IDT,Head of Household,A > L > G > L > J > J > H,10
IDT,Head of Household,A > M > E > N > L,13
IDT,Head of Household,A > M > H > I > C > B > N,7
IDT,Head of Household,B > B > C > C > N > J > F > I,14
IDT,Head of Household,B > C > D > C,13
IDT,Head of Household,B > C > O > F > K > A > F,10
IDT,Head of Household,B > H > L > A > K > K > F,15
IDT,Head of Household,B > H > M > A > G > O > M > F > C,9
IDT,Head of Household,B > K > L > K > H,8
IDT,Head of Household,B > O > F > H > D > A > F,8
IDT,Head of Household,C > F > L > B > E > A > N > F > J,12
IDT,Head of Household,C > J > A > E > K > A > J,8
IDT,Head of Household,C > J > J > A > A > I > K,12
IDT,Head of Household,C > J > K > M > A > M > A,7
IDT,Head of Household,C > K > C > M > H,11
IDT,Head of Household,C > K > D > D > G,8
IDT,Head of Household,C > L > G > I > D > M > A > H,8
IDT,Head of Household,C > N > M,12
IDT,Head of Household,D > A > A > D > K > D,12
IDT,Head of Household,D > A > H > C > J > G > H > B > J > G,12
IDT,Head of Household,D > C > I > N > L > O > A,10
IDT,Head of Household,D > D > K > K > N > B > D,7
IDT,Head of Household,D > E > B > F > G > C > E,7
IDT,Head of Household,D > H > C > M > F,11
IDT,Head of Household,D > I > G > M > O > A > F > B,12
IDT,Head of Household,D > J > C,10
IDT,Head of Household,D > L > D > G > L,10
IDT,Head of Household,D > L > H > F > L > H > A > G > C,13
IDT,Head of Household,E > A > L,11
IDT,Head of Household,E > B > N,6
IDT,Head of Household,E > C > C > E > C > J,10
IDT,Head of Household,E > E > F > I > C > M > O,7
IDT,Head of Household,E > E > N,6
IDT,Head of Household,E > F > K > H > F > I > H > C,10
IDT,Head of Household,E > J > L > E > G > I > L > F,8
IDT,Head of Household,E > N > C > O > N > G > O > I > M,10
IDT,Head of Household,F > C > J > O > D > J > L > L > N > N,5
IDT,Head of Household,F > F > N > F > K > E > B,14
IDT,Head of Household,F > K > B > N,14
IDT,Head of Household,G > D > F > F > N > M,5
